speed resistance
11 65.02744701857613
12 101.76889254345018
13 99.74112757293797
14 108.5929483841414
15 151.66309757206193
16 141.97365841287237
17 181.6073965817168
18 181.59020167110754
19 169.99538448495042
20 234.39960105370398
21 276.25735592731763
22 308.62036864344253
23 299.23310453470737
24 357.6101315388918
25 394.89100232419173
26 431.5938654431342
27 426.6212043352461
28 454.9653124462221
29 497.1612155478985
30 536.6738064930569
31 594.7563469151753
32 612.6276871934543
33 685.3942525323621
34 640.5909904070361
35 734.1282480802986
36 749.2451095530001
37 837.0352873907347
38 886.9558650759724
39 897.7810361241116
40 946.9816689135988
41 956.4868485542224
42 1058.8630429364287
43 1105.9803924310609
44 1170.152437036301
45 1214.7415534533493
46 1273.260484939499
47 1320.9516735044494
48 1394.0341716486068
49 1404.9651144520415
50 1474.2706722963183
51 1585.5794446833363
52 1598.419586072135
53 1719.3348976010416
54 1725.0890877091617
55 1837.35245730956
56 1900.1680103999433
57 1953.110056121232
58 2022.9116962886433
59 2080.656810341334
60 2167.1472331099835
