speed resistance
11 79.83283060718853
12 107.75299931774177
13 114.51668285149266
14 154.82416662933446
15 119.58823567139122
16 123.886858836115
17 196.0753760629462
18 197.10521476463265
19 225.44727219606054
20 217.07340280032875
21 283.98257852290175
22 343.4853941028521
23 305.84689406757496
24 342.8358658023523
25 396.48121729341506
26 402.43368814540014
27 428.26785483337886
28 492.9565708529234
29 524.5414886394019
30 530.3706550229044
31 579.7591206344657
32 617.6634536077074
33 679.3948553344862
34 703.4300112371076
35 747.1545953177242
36 793.3971628156279
37 792.735084400385
38 875.2987715686834
39 949.5070729385344
40 987.3888777130434
41 1010.2344547986555
42 1085.4323064556731
43 1129.797041531291
44 1133.2461602852006
45 1196.6178749939666
46 1256.5515805287162
47 1333.594913260925
48 1406.223358438467
49 1443.884296386809
50 1526.1667441407299
51 1556.5203064115292
52 1638.194365919417
53 1697.3794535785464
54 1765.247758621633
55 1825.1340884357953
56 1881.9396701095066
57 1982.8292869474403
58 2043.5054440339866
59 2082.233404939801
60 2133.5531627868218
